"","Distrito","mean_pred","mean_ll","pred_ul","SE"
"34","Distrito Centro",8.50152628238213,8.3093821110711,8.69390064751942,"202528"
"35","Distrito Norte",8.35944337276607,8.16433649747004,8.55425829349716,"202528"
"36","Distrito Sul",8.62227226198092,8.43137359801458,8.81336052751681,"202528"
"37","Distrito Centro",9.56862471316333,9.36235091892174,9.77594914363044,"201429"
"38","Distrito Norte",8.98118828851402,8.77205340377124,9.1904486599644,"201429"
"39","Distrito Sul",10.2502318745466,10.0453900903144,10.4553723382112,"201429"
"40","Distrito Centro",15.123050529785,14.923553256593,15.3221994149858,"201529"
"41","Distrito Norte",15.007823146321,14.8061154308796,15.209266666435,"201529"
"42","Distrito Sul",15.2195592104859,15.0219613355959,15.4172694042562,"201529"
"43","Distrito Centro",12.2871555789225,12.0888175756954,12.4856645970264,"201629"
"44","Distrito Norte",12.1878151808864,11.986652890448,12.3892261075484,"201629"
"45","Distrito Sul",12.5548953704031,12.3578135683182,12.7521261906849,"201629"
"46","Distrito Centro",6.29519036568869,6.0968614495445,6.49363544909618,"201729"
"47","Distrito Norte",5.91401139464102,5.71280753689525,6.11486404190211,"201729"
"48","Distrito Sul",6.61694347100177,6.41950202661302,6.81409071857133,"201729"
"49","Distrito Centro",12.5539787724201,12.3554166748605,12.7533755332635,"201829"
"50","Distrito Norte",13.0469801017985,12.8449660517719,13.2483020924234,"201829"
"51","Distrito Sul",12.6241560871959,12.4270075054138,12.8219410162104,"201829"
"52","Distrito Centro",8.36324837798383,8.16503920419629,8.56189920446418,"201929"
"53","Distrito Norte",8.16349428945476,7.96229171222428,8.36502037879413,"201929"
"54","Distrito Sul",8.63453882570813,8.43755457224636,8.83167214097013,"201929"
"55","Distrito Centro",12.0796076985012,11.8797941955258,12.2786463100458,"202029"
"56","Distrito Norte",11.6898370670644,11.4885016238259,11.890862711069,"202029"
"57","Distrito Sul",12.4474537335598,12.2493559543838,12.6448678371037,"202029"
"58","Distrito Centro",11.4431594973075,11.2448932962014,11.6419457152511,"202129"
"59","Distrito Norte",11.2291565933299,11.0277500047797,11.4301780773319,"202129"
"60","Distrito Sul",11.7143184952348,11.5172061967698,11.9120572356303,"202129"
"61","Distrito Centro",13.982567222086,13.7840222485489,14.1809399600201,"202229"
"62","Distrito Norte",13.7313304366483,13.5299825887752,13.9322066025555,"202229"
"63","Distrito Sul",14.2582850222305,14.0609927141044,14.4553739851316,"202229"
"64","Distrito Centro",11.058026336921,10.8597479816668,11.256577538033,"202329"
"65","Distrito Norte",10.7321417184734,10.5310375808693,10.9331701493219,"202329"
"66","Distrito Sul",11.3064321935121,11.1094054273782,11.5037004983245,"202329"
"67","Distrito Centro",11.6316570405011,11.4328602009737,11.8307428380334,"202429"
"68","Distrito Norte",11.6181007839201,11.4164923555238,11.8196851434577,"202429"
"69","Distrito Sul",11.9166762625417,11.719030860838,12.1143227206113,"202429"
"70","Distrito Centro",9.23223707846249,9.02614200471773,9.43880520010418,"202529"
"71","Distrito Norte",9.03332987259211,8.82395859745849,9.24229853724823,"202529"
"72","Distrito Sul",9.67214625028429,9.46741844903075,9.87747056642281,"202529"
"73","Distrito Centro",8.19003573057048,7.99988189591067,8.38091489907923,"201430"
"74","Distrito Norte",8.00934111290972,7.81661828268104,8.20200131564818,"201430"
"75","Distrito Sul",8.63028094240526,8.44138501693711,8.81990777535166,"201430"
"76","Distrito Centro",14.0504706552106,13.8686959465168,14.231440453827,"201530"
"77","Distrito Norte",13.7557259701926,13.5726746301534,13.9380148274905,"201530"
"78","Distrito Sul",14.2220738128506,14.0431055871628,14.4006615038729,"201530"
"79","Distrito Centro",4.90102848770912,4.72174377628477,5.08116902431978,"201630"
